"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Greece (GR)","20.05.2017 09:00 - 20.05.2017 10:00 (CET)","n/e","1597","n/e","650","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1322","n/e","n/e","163"
"Greece (GR)","20.05.2017 10:00 - 20.05.2017 11:00 (CET)","n/e","1580","n/e","592","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1567","n/e","n/e","211"
"Greece (GR)","20.05.2017 11:00 - 20.05.2017 12:00 (CET)","n/e","1583","n/e","566","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1698","n/e","n/e","242"
"Greece (GR)","20.05.2017 12:00 - 20.05.2017 13:00 (CET)","n/e","1595","n/e","570","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1726","n/e","n/e","311"
"Greece (GR)","20.05.2017 13:00 - 20.05.2017 14:00 (CET)","n/e","1536","n/e","545","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1651","n/e","n/e","388"
"Greece (GR)","20.05.2017 14:00 - 20.05.2017 15:00 (CET)","n/e","1463","n/e","552","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1463","n/e","n/e","489"
"Greece (GR)","20.05.2017 15:00 - 20.05.2017 16:00 (CET)","n/e","1429","n/e","546","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1196","n/e","n/e","553"
"Greece (GR)","20.05.2017 16:00 - 20.05.2017 17:00 (CET)","n/e","1465","n/e","620","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","849","n/e","n/e","570"
"Greece (GR)","20.05.2017 17:00 - 20.05.2017 18:00 (CET)","n/e","1482","n/e","759","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","469","n/e","n/e","551"
"Greece (GR)","20.05.2017 18:00 - 20.05.2017 19:00 (CET)","n/e","1596","n/e","917","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","181","n/e","n/e","572"
"Greece (GR)","20.05.2017 19:00 - 20.05.2017 20:00 (CET)","n/e","1651","n/e","892","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","24","n/e","n/e","613"
"Greece (GR)","20.05.2017 20:00 - 20.05.2017 21:00 (CET)","n/e","1622","n/e","864","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","666"
"Greece (GR)","20.05.2017 21:00 - 20.05.2017 22:00 (CET)","n/e","1617","n/e","986","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","620"
"Greece (GR)","20.05.2017 22:00 - 20.05.2017 23:00 (CET)","n/e","1606","n/e","832","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","607"
"Greece (GR)","20.05.2017 23:00 - 21.05.2017 00:00 (CET)","n/e","1603","n/e","621","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","627"
"Greece (GR)","21.05.2017 00:00 - 21.05.2017 01:00 (CET)","n/e","1581","n/e","543","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","603"
"Greece (GR)","21.05.2017 01:00 - 21.05.2017 02:00 (CET)","n/e","1602","n/e","427","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","551"
"Greece (GR)","21.05.2017 02:00 - 21.05.2017 03:00 (CET)","n/e","1626","n/e","425","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","463"
"Greece (GR)","21.05.2017 03:00 - 21.05.2017 04:00 (CET)","n/e","1633","n/e","435","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","397"
"Greece (GR)","21.05.2017 04:00 - 21.05.2017 05:00 (CET)","n/e","1656","n/e","405","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","339"
"Greece (GR)","21.05.2017 05:00 - 21.05.2017 06:00 (CET)","n/e","1607","n/e","387","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","32","n/e","n/e","330"
"Greece (GR)","21.05.2017 06:00 - 21.05.2017 07:00 (CET)","n/e","1607","n/e","378","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","226","n/e","n/e","344"
"Greece (GR)","21.05.2017 07:00 - 21.05.2017 08:00 (CET)","n/e","1654","n/e","372","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","553","n/e","n/e","351"
"Greece (GR)","21.05.2017 08:00 - 21.05.2017 09:00 (CET)","n/e","1584","n/e","358","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","920","n/e","n/e","278"
"Greece (GR)","21.05.2017 09:00 - 21.05.2017 10:00 (CET)","n/e","1480","n/e","370","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1222","n/e","n/e","312"
"Greece (GR)","21.05.2017 10:00 - 21.05.2017 11:00 (CET)","n/e","1504","n/e","459","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1390","n/e","n/e","296"
"Greece (GR)","21.05.2017 11:00 - 21.05.2017 12:00 (CET)","n/e","1615","n/e","454","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1421","n/e","n/e","331"
"Greece (GR)","21.05.2017 12:00 - 21.05.2017 13:00 (CET)","n/e","1651","n/e","345","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1400","n/e","n/e","398"
"Greece (GR)","21.05.2017 13:00 - 21.05.2017 14:00 (CET)","n/e","1640","n/e","238","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1311","n/e","n/e","498"
"Greece (GR)","21.05.2017 14:00 - 21.05.2017 15:00 (CET)","n/e","1450","n/e","322","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1124","n/e","n/e","583"
"Greece (GR)","21.05.2017 15:00 - 21.05.2017 16:00 (CET)","n/e","1378","n/e","335","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","900","n/e","n/e","598"
"Greece (GR)","21.05.2017 16:00 - 21.05.2017 17:00 (CET)","n/e","1380","n/e","455","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","621","n/e","n/e","573"
"Greece (GR)","21.05.2017 17:00 - 21.05.2017 18:00 (CET)","n/e","1499","n/e","653","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","328","n/e","n/e","527"
"Greece (GR)","21.05.2017 18:00 - 21.05.2017 19:00 (CET)","n/e","1515","n/e","599","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","128","n/e","n/e","554"
"Greece (GR)","21.05.2017 19:00 - 21.05.2017 20:00 (CET)","n/e","1530","n/e","608","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","18","n/e","n/e","565"
"Greece (GR)","21.05.2017 20:00 - 21.05.2017 21:00 (CET)","n/e","1509","n/e","624","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","581"
"Greece (GR)","21.05.2017 21:00 - 21.05.2017 22:00 (CET)","n/e","1546","n/e","461","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","515"
"Greece (GR)","21.05.2017 22:00 - 21.05.2017 23:00 (CET)","n/e","1554","n/e","506","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","598"
"Greece (GR)","21.05.2017 23:00 - 22.05.2017 00:00 (CET)","n/e","1453","n/e","492","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","653"
"Greece (GR)","22.05.2017 00:00 - 22.05.2017 01:00 (CET)","n/e","1435","n/e","519","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","779"
"Greece (GR)","22.05.2017 01:00 - 22.05.2017 02:00 (CET)","n/e","1445","n/e","553","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","819"
"Greece (GR)","22.05.2017 02:00 - 22.05.2017 03:00 (CET)","n/e","1437","n/e","529","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","867"
"Greece (GR)","22.05.2017 03:00 - 22.05.2017 04:00 (CET)","n/e","1408","n/e","546","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","897"
"Greece (GR)","22.05.2017 04:00 - 22.05.2017 05:00 (CET)","n/e","1440","n/e","577","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","886"
"Greece (GR)","22.05.2017 05:00 - 22.05.2017 06:00 (CET)","n/e","1450","n/e","613","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","33","n/e","n/e","845"
"Greece (GR)","22.05.2017 06:00 - 22.05.2017 07:00 (CET)","n/e","1454","n/e","757","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","233","n/e","n/e","805"
"Greece (GR)","22.05.2017 07:00 - 22.05.2017 08:00 (CET)","n/e","1477","n/e","1064","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","573","n/e","n/e","753"
"Greece (GR)","22.05.2017 08:00 - 22.05.2017 09:00 (CET)","n/e","1527","n/e","1267","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","953","n/e","n/e","706"
"Greece (GR)","22.05.2017 09:00 - 22.05.2017 10:00 (CET)","n/e","1592","n/e","1290","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1267","n/e","n/e","601"
"Greece (GR)","22.05.2017 10:00 - 22.05.2017 11:00 (CET)","n/e","1657","n/e","1205","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1465","n/e","n/e","503"
"Greece (GR)","22.05.2017 11:00 - 22.05.2017 12:00 (CET)","n/e","1734","n/e","1199","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1531","n/e","n/e","377"
"Greece (GR)","22.05.2017 12:00 - 22.05.2017 13:00 (CET)","n/e","1806","n/e","1195","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1525","n/e","n/e","305"
"Greece (GR)","22.05.2017 13:00 - 22.05.2017 14:00 (CET)","n/e","1738","n/e","1136","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1456","n/e","n/e","284"
"Greece (GR)","22.05.2017 14:00 - 22.05.2017 15:00 (CET)","n/e","1642","n/e","1093","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1295","n/e","n/e","294"
"Greece (GR)","22.05.2017 15:00 - 22.05.2017 16:00 (CET)","n/e","1670","n/e","1089","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1065","n/e","n/e","285"
"Greece (GR)","22.05.2017 16:00 - 22.05.2017 17:00 (CET)","n/e","1711","n/e","1183","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","759","n/e","n/e","236"
"Greece (GR)","22.05.2017 17:00 - 22.05.2017 18:00 (CET)","n/e","1719","n/e","1499","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","425","n/e","n/e","209"
"Greece (GR)","22.05.2017 18:00 - 22.05.2017 19:00 (CET)","n/e","1886","n/e","1507","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","169","n/e","n/e","209"
"Greece (GR)","22.05.2017 19:00 - 22.05.2017 20:00 (CET)","n/e","1823","n/e","1578","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","24","n/e","n/e","225"
"Greece (GR)","22.05.2017 20:00 - 22.05.2017 21:00 (CET)","n/e","1722","n/e","1667","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","271"
"Greece (GR)","22.05.2017 21:00 - 22.05.2017 22:00 (CET)","n/e","1690","n/e","1491","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","261"
"Greece (GR)","22.05.2017 22:00 - 22.05.2017 23:00 (CET)","n/e","1628","n/e","1551","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","248"
"Greece (GR)","22.05.2017 23:00 - 23.05.2017 00:00 (CET)","n/e","1566","n/e","1589","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","247"
"Greece (GR)","23.05.2017 00:00 - 23.05.2017 01:00 (CET)","n/e","1499","n/e","1115","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","231"
"Greece (GR)","23.05.2017 01:00 - 23.05.2017 02:00 (CET)","n/e","1346","n/e","1092","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","193"
"Greece (GR)","23.05.2017 02:00 - 23.05.2017 03:00 (CET)","n/e","1332","n/e","1031","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","212"
"Greece (GR)","23.05.2017 03:00 - 23.05.2017 04:00 (CET)","n/e","1304","n/e","1026","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","243"
"Greece (GR)","23.05.2017 04:00 - 23.05.2017 05:00 (CET)","n/e","1326","n/e","1137","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","290"
"Greece (GR)","23.05.2017 05:00 - 23.05.2017 06:00 (CET)","n/e","1408","n/e","1135","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","32","n/e","n/e","278"
"Greece (GR)","23.05.2017 06:00 - 23.05.2017 07:00 (CET)","n/e","1433","n/e","1523","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","223","n/e","n/e","283"
"Greece (GR)","23.05.2017 07:00 - 23.05.2017 08:00 (CET)","n/e","1456","n/e","2017","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","548","n/e","n/e","268"
"Greece (GR)","23.05.2017 08:00 - 23.05.2017 09:00 (CET)","n/e","1492","n/e","2164","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","915","n/e","n/e","189"
"Greece (GR)","23.05.2017 09:00 - 23.05.2017 10:00 (CET)","n/e","1497","n/e","2142","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1227","n/e","n/e","151"
"Greece (GR)","23.05.2017 10:00 - 23.05.2017 11:00 (CET)","n/e","1472","n/e","2145","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1419","n/e","n/e","140"
"Greece (GR)","23.05.2017 11:00 - 23.05.2017 12:00 (CET)","n/e","1527","n/e","2030","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1479","n/e","n/e","92"
"Greece (GR)","23.05.2017 12:00 - 23.05.2017 13:00 (CET)","n/e","1472","n/e","2145","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1160","n/e","n/e","162"
"Greece (GR)","23.05.2017 13:00 - 23.05.2017 14:00 (CET)","n/e","1567","n/e","2003","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","919","n/e","n/e","176"
"Greece (GR)","23.05.2017 14:00 - 23.05.2017 15:00 (CET)","n/e","1637","n/e","1862","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","629","n/e","n/e","200"
"Greece (GR)","23.05.2017 15:00 - 23.05.2017 16:00 (CET)","n/e","1668","n/e","1917","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","333","n/e","n/e","213"
"Greece (GR)","23.05.2017 16:00 - 23.05.2017 17:00 (CET)","n/e","1741","n/e","2052","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","131","n/e","n/e","181"
"Greece (GR)","23.05.2017 17:00 - 23.05.2017 18:00 (CET)","n/e","1791","n/e","2026","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","19","n/e","n/e","152"
"Greece (GR)","23.05.2017 18:00 - 23.05.2017 19:00 (CET)","n/e","1822","n/e","2178","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","157"
"Greece (GR)","23.05.2017 19:00 - 23.05.2017 20:00 (CET)","n/e","1821","n/e","2019","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","139"
"Greece (GR)","23.05.2017 20:00 - 23.05.2017 21:00 (CET)","n/e","1866","n/e","2027","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","139"
"Greece (GR)","23.05.2017 21:00 - 23.05.2017 22:00 (CET)","n/e","1776","n/e","2010","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","N/A"
"Greece (GR)","23.05.2017 22:00 - 23.05.2017 23:00 (CET)","n/e","1725","n/e","2012","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","N/A"
"Greece (GR)","23.05.2017 23:00 - 24.05.2017 00:00 (CET)","n/e","1615","n/e","1732","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","135"
"Greece (GR)","24.05.2017 00:00 - 24.05.2017 01:00 (CET)","n/e","1576","n/e","1274","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","132"
"Greece (GR)","24.05.2017 01:00 - 24.05.2017 02:00 (CET)","n/e","1591","n/e","1057","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","142"
"Greece (GR)","24.05.2017 02:00 - 24.05.2017 03:00 (CET)","n/e","1593","n/e","969","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","142"
"Greece (GR)","24.05.2017 03:00 - 24.05.2017 04:00 (CET)","n/e","1581","n/e","994","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","134"
"Greece (GR)","24.05.2017 04:00 - 24.05.2017 05:00 (CET)","n/e","1574","n/e","1131","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","122"
"Greece (GR)","24.05.2017 05:00 - 24.05.2017 06:00 (CET)","n/e","1574","n/e","1281","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","n/e","n/e","106"
"Greece (GR)","24.05.2017 06:00 - 24.05.2017 07:00 (CET)","n/e","1592","n/e","1690","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","184","n/e","n/e","90"
"Greece (GR)","24.05.2017 07:00 - 24.05.2017 08:00 (CET)","n/e","1650","n/e","2216","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","448","n/e","n/e","82"
"Greece (GR)","24.05.2017 08:00 - 24.05.2017 09:00 (CET)","n/e","1688","n/e","2377","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","754","n/e","n/e","80"
"Greece (GR)","24.05.2017 09:00 - 24.05.2017 10:00 (CET)","n/e","1676","n/e","2280","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1019","n/e","n/e","85"
"Greece (GR)","24.05.2017 10:00 - 24.05.2017 11:00 (CET)","n/e","1699","n/e","2372","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1192","n/e","n/e","87"
"Greece (GR)","24.05.2017 11:00 - 24.05.2017 12:00 (CET)","n/e","1788","n/e","2282","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1262","n/e","n/e","101"
"Greece (GR)","24.05.2017 12:00 - 24.05.2017 13:00 (CET)","n/e","1749","n/e","2118","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1270","n/e","n/e","122"
"Greece (GR)","24.05.2017 13:00 - 24.05.2017 14:00 (CET)","n/e","1737","n/e","2054","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1208","n/e","n/e","134"
"Greece (GR)","24.05.2017 14:00 - 24.05.2017 15:00 (CET)","n/e","1674","n/e","1899","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1059","n/e","n/e","166"
"Greece (GR)","24.05.2017 15:00 - 24.05.2017 16:00 (CET)","n/e","1629","n/e","2062","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","854","n/e","n/e","157"
"Greece (GR)","24.05.2017 16:00 - 24.05.2017 17:00 (CET)","n/e","1672","n/e","2167","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","594","n/e","n/e","159"
"Greece (GR)","24.05.2017 17:00 - 24.05.2017 18:00 (CET)","n/e","1680","n/e","2152","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","331","n/e","n/e","156"
"Greece (GR)","24.05.2017 18:00 - 24.05.2017 19:00 (CET)","n/e","1699","n/e","2224","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","137","n/e","n/e","141"
"Greece (GR)","24.05.2017 19:00 - 24.05.2017 20:00 (CET)","n/e","1668","n/e","2350","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","21","n/e","n/e","173"
"Greece (GR)","24.05.2017 20:00 - 24.05.2017 21:00 (CET)","n/e","1689","n/e","2345","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","162"
"Greece (GR)","24.05.2017 21:00 - 24.05.2017 22:00 (CET)","n/e","1596","n/e","2293","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","152"
"Greece (GR)","24.05.2017 22:00 - 24.05.2017 23:00 (CET)","n/e","1503","n/e","2111","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","170"
"Greece (GR)","24.05.2017 23:00 - 25.05.2017 00:00 (CET)","n/e","1526","n/e","1696","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","171"
"Greece (GR)","25.05.2017 00:00 - 25.05.2017 01:00 (CET)","n/e","1578","n/e","1305","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","170"
"Greece (GR)","25.05.2017 01:00 - 25.05.2017 02:00 (CET)","n/e","1604","n/e","1139","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","169"
"Greece (GR)","25.05.2017 02:00 - 25.05.2017 03:00 (CET)","n/e","1554","n/e","1199","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","144"
"Greece (GR)","25.05.2017 03:00 - 25.05.2017 04:00 (CET)","n/e","1546","n/e","1184","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","142"
"Greece (GR)","25.05.2017 04:00 - 25.05.2017 05:00 (CET)","n/e","1570","n/e","1272","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","125"
"Greece (GR)","25.05.2017 05:00 - 25.05.2017 06:00 (CET)","n/e","1561","n/e","1378","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","31","n/e","n/e","116"
