"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Greece (GR)","03.01.2017 16:00 - 03.01.2017 17:00 (CET)","n/e","2367","n/e","3016","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8","n/e","n/e","356"
"Greece (GR)","03.01.2017 17:00 - 03.01.2017 18:00 (CET)","n/e","2299","n/e","3189","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","293"
"Greece (GR)","03.01.2017 18:00 - 03.01.2017 19:00 (CET)","n/e","2324","n/e","3202","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","270"
"Greece (GR)","03.01.2017 19:00 - 03.01.2017 20:00 (CET)","n/e","2507","n/e","3210","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","274"
"Greece (GR)","03.01.2017 20:00 - 03.01.2017 21:00 (CET)","n/e","2562","n/e","3087","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","230"
"Greece (GR)","03.01.2017 21:00 - 03.01.2017 22:00 (CET)","n/e","2576","n/e","2959","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","208"
"Greece (GR)","03.01.2017 22:00 - 03.01.2017 23:00 (CET)","n/e","2566","n/e","2894","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","202"
"Greece (GR)","03.01.2017 23:00 - 04.01.2017 00:00 (CET)","n/e","2466","n/e","2429","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","214"
"Greece (GR)","04.01.2017 00:00 - 04.01.2017 01:00 (CET)","n/e","2433","n/e","1575","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","219"
"Greece (GR)","04.01.2017 01:00 - 04.01.2017 02:00 (CET)","n/e","2441","n/e","1360","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","211"
"Greece (GR)","04.01.2017 02:00 - 04.01.2017 03:00 (CET)","n/e","2382","n/e","1296","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","220"
"Greece (GR)","04.01.2017 03:00 - 04.01.2017 04:00 (CET)","n/e","2249","n/e","1301","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","264"
"Greece (GR)","04.01.2017 04:00 - 04.01.2017 05:00 (CET)","n/e","2158","n/e","1393","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","278"
"Greece (GR)","04.01.2017 05:00 - 04.01.2017 06:00 (CET)","n/e","2327","n/e","1634","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","301"
"Greece (GR)","04.01.2017 06:00 - 04.01.2017 07:00 (CET)","n/e","2452","n/e","2259","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","n/e","n/e","356"
"Greece (GR)","04.01.2017 07:00 - 04.01.2017 08:00 (CET)","n/e","2510","n/e","2353","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","193","n/e","n/e","393"
"Greece (GR)","04.01.2017 08:00 - 04.01.2017 09:00 (CET)","n/e","2529","n/e","2379","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","499","n/e","n/e","446"
"Greece (GR)","04.01.2017 09:00 - 04.01.2017 10:00 (CET)","n/e","2539","n/e","2369","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","806","n/e","n/e","492"
"Greece (GR)","04.01.2017 10:00 - 04.01.2017 11:00 (CET)","n/e","2576","n/e","2367","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1014","n/e","n/e","522"
"Greece (GR)","04.01.2017 11:00 - 04.01.2017 12:00 (CET)","n/e","2553","n/e","2464","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1087","n/e","n/e","599"
"Greece (GR)","04.01.2017 12:00 - 04.01.2017 13:00 (CET)","n/e","2538","n/e","2647","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1030","n/e","n/e","659"
"Greece (GR)","04.01.2017 13:00 - 04.01.2017 14:00 (CET)","n/e","2486","n/e","2841","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","854","n/e","n/e","666"
"Greece (GR)","04.01.2017 14:00 - 04.01.2017 15:00 (CET)","n/e","2490","n/e","3095","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","550","n/e","n/e","726"
"Greece (GR)","04.01.2017 15:00 - 04.01.2017 16:00 (CET)","n/e","2534","n/e","3111","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","214","n/e","n/e","758"
