"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GR","02.01.2020 07:00 - 02.01.2020 08:00 (CET)","n/e","1178","n/e","951","n/e","0","n/e","n/e","n/e","87","","n/e","284","n/e","n/e","n/e","n/e","127","n/e","n/e","1344"
"BZN|GR","02.01.2020 08:00 - 02.01.2020 09:00 (CET)","n/e","1223","n/e","1194","n/e","0","n/e","n/e","n/e","58","","n/e","319","n/e","n/e","n/e","n/e","577","n/e","n/e","1332"
"BZN|GR","02.01.2020 09:00 - 02.01.2020 10:00 (CET)","n/e","1321","n/e","1180","n/e","0","n/e","n/e","n/e","0","","n/e","310","n/e","n/e","n/e","n/e","988","n/e","n/e","1364"
"BZN|GR","02.01.2020 10:00 - 02.01.2020 11:00 (CET)","n/e","1342","n/e","1104","n/e","0","n/e","n/e","n/e","0","","n/e","319","n/e","n/e","n/e","n/e","1184","n/e","n/e","1368"
"BZN|GR","02.01.2020 11:00 - 02.01.2020 12:00 (CET)","n/e","1354","n/e","1063","n/e","0","n/e","n/e","n/e","0","","n/e","463","n/e","n/e","n/e","n/e","1307","n/e","n/e","1338"
"BZN|GR","02.01.2020 12:00 - 02.01.2020 13:00 (CET)","n/e","1375","n/e","1145","n/e","0","n/e","n/e","n/e","0","","n/e","408","n/e","n/e","n/e","n/e","1222","n/e","n/e","1315"
"BZN|GR","02.01.2020 13:00 - 02.01.2020 14:00 (CET)","n/e","1312","n/e","1176","n/e","0","n/e","n/e","n/e","0","","n/e","385","n/e","n/e","n/e","n/e","1031","n/e","n/e","1314"
"BZN|GR","02.01.2020 14:00 - 02.01.2020 15:00 (CET)","n/e","1186","n/e","1667","n/e","0","n/e","n/e","n/e","0","","n/e","493","n/e","n/e","n/e","n/e","655","n/e","n/e","1314"
"BZN|GR","02.01.2020 15:00 - 02.01.2020 16:00 (CET)","n/e","1206","n/e","2165","n/e","0","n/e","n/e","n/e","19","","n/e","555","n/e","n/e","n/e","n/e","203","n/e","n/e","1324"
"BZN|GR","02.01.2020 16:00 - 02.01.2020 17:00 (CET)","n/e","1183","n/e","2219","n/e","0","n/e","n/e","n/e","59","","n/e","787","n/e","n/e","n/e","n/e","4","n/e","n/e","1337"
"BZN|GR","02.01.2020 17:00 - 02.01.2020 18:00 (CET)","n/e","1235","n/e","2421","n/e","0","n/e","n/e","n/e","129","","n/e","929","n/e","n/e","n/e","n/e","0","n/e","n/e","1329"
"BZN|GR","02.01.2020 18:00 - 02.01.2020 19:00 (CET)","n/e","1276","n/e","2404","n/e","0","n/e","n/e","n/e","157","","n/e","943","n/e","n/e","n/e","n/e","0","n/e","n/e","1295"
"BZN|GR","02.01.2020 19:00 - 02.01.2020 20:00 (CET)","n/e","1357","n/e","2351","n/e","0","n/e","n/e","n/e","110","","n/e","894","n/e","n/e","n/e","n/e","0","n/e","n/e","1245"
"BZN|GR","02.01.2020 20:00 - 02.01.2020 21:00 (CET)","n/e","1366","n/e","2251","n/e","0","n/e","n/e","n/e","0","","n/e","682","n/e","n/e","n/e","n/e","0","n/e","n/e","1204"
"BZN|GR","02.01.2020 21:00 - 02.01.2020 22:00 (CET)","n/e","1284","n/e","1918","n/e","0","n/e","n/e","n/e","0","","n/e","401","n/e","n/e","n/e","n/e","0","n/e","n/e","1176"
"BZN|GR","02.01.2020 22:00 - 02.01.2020 23:00 (CET)","n/e","1131","n/e","1786","n/e","0","n/e","n/e","n/e","0","","n/e","373","n/e","n/e","n/e","n/e","0","n/e","n/e","1150"
"BZN|GR","02.01.2020 23:00 - 03.01.2020 00:00 (CET)","n/e","1110","n/e","1331","n/e","0","n/e","n/e","n/e","0","","n/e","159","n/e","n/e","n/e","n/e","0","n/e","n/e","1134"
"BZN|GR","03.01.2020 00:00 - 03.01.2020 01:00 (CET)","n/e","1115","n/e","963","n/e","0","n/e","n/e","n/e","0","","n/e","101","n/e","n/e","n/e","n/e","0","n/e","n/e","1139"
"BZN|GR","03.01.2020 01:00 - 03.01.2020 02:00 (CET)","n/e","1110","n/e","955","n/e","0","n/e","n/e","n/e","0","","n/e","105","n/e","n/e","n/e","n/e","0","n/e","n/e","1163"
"BZN|GR","03.01.2020 02:00 - 03.01.2020 03:00 (CET)","n/e","1107","n/e","869","n/e","0","n/e","n/e","n/e","0","","n/e","61","n/e","n/e","n/e","n/e","0","n/e","n/e","1220"
"BZN|GR","03.01.2020 03:00 - 03.01.2020 04:00 (CET)","n/e","1110","n/e","838","n/e","0","n/e","n/e","n/e","0","","n/e","44","n/e","n/e","n/e","n/e","0","n/e","n/e","1243"
"BZN|GR","03.01.2020 04:00 - 03.01.2020 05:00 (CET)","n/e","1108","n/e","830","n/e","0","n/e","n/e","n/e","0","","n/e","44","n/e","n/e","n/e","n/e","0","n/e","n/e","1204"
"BZN|GR","03.01.2020 05:00 - 03.01.2020 06:00 (CET)","n/e","1111","n/e","920","n/e","0","n/e","n/e","n/e","0","","n/e","240","n/e","n/e","n/e","n/e","0","n/e","n/e","1166"
"BZN|GR","03.01.2020 06:00 - 03.01.2020 07:00 (CET)","n/e","1110","n/e","1193","n/e","0","n/e","n/e","n/e","0","","n/e","403","n/e","n/e","n/e","n/e","2","n/e","n/e","1148"
"BZN|GR","03.01.2020 07:00 - 03.01.2020 08:00 (CET)","n/e","1128","n/e","1597","n/e","0","n/e","n/e","n/e","0","","n/e","525","n/e","n/e","n/e","n/e","176","n/e","n/e","1150"
"BZN|GR","03.01.2020 08:00 - 03.01.2020 09:00 (CET)","n/e","1157","n/e","1973","n/e","0","n/e","n/e","n/e","0","","n/e","467","n/e","n/e","n/e","n/e","613","n/e","n/e","1130"
"BZN|GR","03.01.2020 09:00 - 03.01.2020 10:00 (CET)","n/e","1180","n/e","1954","n/e","0","n/e","n/e","n/e","0","","n/e","415","n/e","n/e","n/e","n/e","1010","n/e","n/e","1002"
"BZN|GR","03.01.2020 10:00 - 03.01.2020 11:00 (CET)","n/e","1221","n/e","1983","n/e","0","n/e","n/e","n/e","0","","n/e","297","n/e","n/e","n/e","n/e","1238","n/e","n/e","909"
"BZN|GR","03.01.2020 11:00 - 03.01.2020 12:00 (CET)","n/e","1198","n/e","1957","n/e","0","n/e","n/e","n/e","0","","n/e","254","n/e","n/e","n/e","n/e","1427","n/e","n/e","792"
"BZN|GR","03.01.2020 12:00 - 03.01.2020 13:00 (CET)","n/e","1159","n/e","1999","n/e","0","n/e","n/e","n/e","0","","n/e","235","n/e","n/e","n/e","n/e","1383","n/e","n/e","773"
"BZN|GR","03.01.2020 13:00 - 03.01.2020 14:00 (CET)","n/e","1114","n/e","2090","n/e","0","n/e","n/e","n/e","0","","n/e","158","n/e","n/e","n/e","n/e","1143","n/e","n/e","780"
"BZN|GR","03.01.2020 14:00 - 03.01.2020 15:00 (CET)","n/e","1107","n/e","2364","n/e","0","n/e","n/e","n/e","0","","n/e","323","n/e","n/e","n/e","n/e","716","n/e","n/e","820"
"BZN|GR","03.01.2020 15:00 - 03.01.2020 16:00 (CET)","n/e","1131","n/e","2645","n/e","0","n/e","n/e","n/e","0","","n/e","495","n/e","n/e","n/e","n/e","223","n/e","n/e","809"
"BZN|GR","03.01.2020 16:00 - 03.01.2020 17:00 (CET)","n/e","1121","n/e","2967","n/e","0","n/e","n/e","n/e","0","","n/e","740","n/e","n/e","n/e","n/e","4","n/e","n/e","856"
"BZN|GR","03.01.2020 17:00 - 03.01.2020 18:00 (CET)","n/e","1218","n/e","3102","n/e","0","n/e","n/e","n/e","35","","n/e","973","n/e","n/e","n/e","n/e","0","n/e","n/e","935"
"BZN|GR","03.01.2020 18:00 - 03.01.2020 19:00 (CET)","n/e","1240","n/e","2915","n/e","0","n/e","n/e","n/e","202","","n/e","997","n/e","n/e","n/e","n/e","0","n/e","n/e","908"
"BZN|GR","03.01.2020 19:00 - 03.01.2020 20:00 (CET)","n/e","1192","n/e","2902","n/e","0","n/e","n/e","n/e","151","","n/e","977","n/e","n/e","n/e","n/e","0","n/e","n/e","900"
"BZN|GR","03.01.2020 20:00 - 03.01.2020 21:00 (CET)","n/e","1142","n/e","2857","n/e","0","n/e","n/e","n/e","49","","n/e","752","n/e","n/e","n/e","n/e","0","n/e","n/e","805"
"BZN|GR","03.01.2020 21:00 - 03.01.2020 22:00 (CET)","n/e","1110","n/e","2697","n/e","0","n/e","n/e","n/e","0","","n/e","497","n/e","n/e","n/e","n/e","0","n/e","n/e","738"
"BZN|GR","03.01.2020 22:00 - 03.01.2020 23:00 (CET)","n/e","1114","n/e","2378","n/e","0","n/e","n/e","n/e","0","","n/e","423","n/e","n/e","n/e","n/e","0","n/e","n/e","685"
"BZN|GR","03.01.2020 23:00 - 04.01.2020 00:00 (CET)","n/e","1180","n/e","1974","n/e","0","n/e","n/e","n/e","0","","n/e","160","n/e","n/e","n/e","n/e","0","n/e","n/e","659"
"BZN|GR","04.01.2020 00:00 - 04.01.2020 01:00 (CET)","n/e","1229","n/e","1696","n/e","0","n/e","n/e","n/e","0","","n/e","11","n/e","n/e","n/e","n/e","0","n/e","n/e","603"
"BZN|GR","04.01.2020 01:00 - 04.01.2020 02:00 (CET)","n/e","1256","n/e","1683","n/e","0","n/e","n/e","n/e","0","","n/e","1","n/e","n/e","n/e","n/e","0","n/e","n/e","594"
"BZN|GR","04.01.2020 02:00 - 04.01.2020 03:00 (CET)","n/e","1256","n/e","1645","n/e","0","n/e","n/e","n/e","0","","n/e","1","n/e","n/e","n/e","n/e","0","n/e","n/e","536"
"BZN|GR","04.01.2020 03:00 - 04.01.2020 04:00 (CET)","n/e","1258","n/e","1607","n/e","0","n/e","n/e","n/e","0","","n/e","1","n/e","n/e","n/e","n/e","0","n/e","n/e","495"
"BZN|GR","04.01.2020 04:00 - 04.01.2020 05:00 (CET)","n/e","1258","n/e","1649","n/e","0","n/e","n/e","n/e","0","","n/e","1","n/e","n/e","n/e","n/e","0","n/e","n/e","428"
"BZN|GR","04.01.2020 05:00 - 04.01.2020 06:00 (CET)","n/e","1267","n/e","1781","n/e","0","n/e","n/e","n/e","0","","n/e","27","n/e","n/e","n/e","n/e","0","n/e","n/e","366"
"BZN|GR","04.01.2020 06:00 - 04.01.2020 07:00 (CET)","n/e","1305","n/e","1962","n/e","0","n/e","n/e","n/e","0","","n/e","27","n/e","n/e","n/e","n/e","1","n/e","n/e","318"
"BZN|GR","04.01.2020 07:00 - 04.01.2020 08:00 (CET)","n/e","1264","n/e","2172","n/e","0","n/e","n/e","n/e","0","","n/e","182","n/e","n/e","n/e","n/e","198","n/e","n/e","299"
"BZN|GR","04.01.2020 08:00 - 04.01.2020 09:00 (CET)","n/e","1262","n/e","2290","n/e","0","n/e","n/e","n/e","0","","n/e","178","n/e","n/e","n/e","n/e","751","n/e","n/e","230"
"BZN|GR","04.01.2020 09:00 - 04.01.2020 10:00 (CET)","n/e","1257","n/e","2126","n/e","0","n/e","n/e","n/e","0","","n/e","168","n/e","n/e","n/e","n/e","1247","n/e","n/e","182"
"BZN|GR","04.01.2020 10:00 - 04.01.2020 11:00 (CET)","n/e","1251","n/e","1875","n/e","0","n/e","n/e","n/e","0","","n/e","168","n/e","n/e","n/e","n/e","1478","n/e","n/e","139"
"BZN|GR","04.01.2020 11:00 - 04.01.2020 12:00 (CET)","n/e","1251","n/e","1785","n/e","0","n/e","n/e","n/e","0","","n/e","167","n/e","n/e","n/e","n/e","1558","n/e","n/e","135"
"BZN|GR","04.01.2020 12:00 - 04.01.2020 13:00 (CET)","n/e","1245","n/e","1764","n/e","0","n/e","n/e","n/e","0","","n/e","228","n/e","n/e","n/e","n/e","1493","n/e","n/e","156"
"BZN|GR","04.01.2020 13:00 - 04.01.2020 14:00 (CET)","n/e","1241","n/e","1763","n/e","0","n/e","n/e","n/e","0","","n/e","232","n/e","n/e","n/e","n/e","1259","n/e","n/e","168"
"BZN|GR","04.01.2020 14:00 - 04.01.2020 15:00 (CET)","n/e","1251","n/e","2205","n/e","0","n/e","n/e","n/e","0","","n/e","269","n/e","n/e","n/e","n/e","797","n/e","n/e","185"
"BZN|GR","04.01.2020 15:00 - 04.01.2020 16:00 (CET)","n/e","1237","n/e","2645","n/e","0","n/e","n/e","n/e","19","","n/e","587","n/e","n/e","n/e","n/e","227","n/e","n/e","178"
"BZN|GR","04.01.2020 16:00 - 04.01.2020 17:00 (CET)","n/e","1263","n/e","3108","n/e","0","n/e","n/e","n/e","48","","n/e","928","n/e","n/e","n/e","n/e","5","n/e","n/e","192"
"BZN|GR","04.01.2020 17:00 - 04.01.2020 18:00 (CET)","n/e","1459","n/e","3174","n/e","0","n/e","n/e","n/e","193","","n/e","1107","n/e","n/e","n/e","n/e","0","n/e","n/e","214"
"BZN|GR","04.01.2020 18:00 - 04.01.2020 19:00 (CET)","n/e","1430","n/e","3061","n/e","0","n/e","n/e","n/e","219","","n/e","1130","n/e","n/e","n/e","n/e","0","n/e","n/e","236"
