"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GR","10.05.2020 22:00 - 10.05.2020 23:00 (CET)","n/e","155","n/e","1738","n/e","0","n/e","n/e","n/e","35","","n/e","184","n/e","n/e","n/e","n/e","0","n/e","n/e","454"
"BZN|GR","10.05.2020 23:00 - 11.05.2020 00:00 (CET)","n/e","156","n/e","1553","n/e","0","n/e","n/e","n/e","0","","n/e","67","n/e","n/e","n/e","n/e","0","n/e","n/e","470"
"BZN|GR","11.05.2020 00:00 - 11.05.2020 01:00 (CET)","n/e","154","n/e","1582","n/e","0","n/e","n/e","n/e","17","","n/e","85","n/e","n/e","n/e","n/e","0","n/e","n/e","484"
"BZN|GR","11.05.2020 01:00 - 11.05.2020 02:00 (CET)","n/e","153","n/e","1443","n/e","0","n/e","n/e","n/e","29","","n/e","71","n/e","n/e","n/e","n/e","0","n/e","n/e","510"
"BZN|GR","11.05.2020 02:00 - 11.05.2020 03:00 (CET)","n/e","154","n/e","1324","n/e","0","n/e","n/e","n/e","29","","n/e","71","n/e","n/e","n/e","n/e","0","n/e","n/e","551"
"BZN|GR","11.05.2020 03:00 - 11.05.2020 04:00 (CET)","n/e","153","n/e","1204","n/e","0","n/e","n/e","n/e","29","","n/e","70","n/e","n/e","n/e","n/e","0","n/e","n/e","663"
"BZN|GR","11.05.2020 04:00 - 11.05.2020 05:00 (CET)","n/e","154","n/e","1132","n/e","0","n/e","n/e","n/e","30","","n/e","93","n/e","n/e","n/e","n/e","0","n/e","n/e","733"
"BZN|GR","11.05.2020 05:00 - 11.05.2020 06:00 (CET)","n/e","153","n/e","1222","n/e","0","n/e","n/e","n/e","29","","n/e","96","n/e","n/e","n/e","n/e","15","n/e","n/e","704"
"BZN|GR","11.05.2020 06:00 - 11.05.2020 07:00 (CET)","n/e","153","n/e","1443","n/e","0","n/e","n/e","n/e","27","","n/e","170","n/e","n/e","n/e","n/e","191","n/e","n/e","677"
"BZN|GR","11.05.2020 07:00 - 11.05.2020 08:00 (CET)","n/e","152","n/e","1717","n/e","0","n/e","n/e","n/e","0","","n/e","284","n/e","n/e","n/e","n/e","569","n/e","n/e","536"
"BZN|GR","11.05.2020 08:00 - 11.05.2020 09:00 (CET)","n/e","172","n/e","1899","n/e","0","n/e","n/e","n/e","0","","n/e","241","n/e","n/e","n/e","n/e","1032","n/e","n/e","454"
"BZN|GR","11.05.2020 09:00 - 11.05.2020 10:00 (CET)","n/e","174","n/e","1626","n/e","0","n/e","n/e","n/e","0","","n/e","223","n/e","n/e","n/e","n/e","1482","n/e","n/e","477"
"BZN|GR","11.05.2020 10:00 - 11.05.2020 11:00 (CET)","n/e","152","n/e","1577","n/e","0","n/e","n/e","n/e","0","","n/e","175","n/e","n/e","n/e","n/e","1764","n/e","n/e","571"
"BZN|GR","11.05.2020 11:00 - 11.05.2020 12:00 (CET)","n/e","153","n/e","1432","n/e","0","n/e","n/e","n/e","0","","n/e","163","n/e","n/e","n/e","n/e","1910","n/e","n/e","752"
"BZN|GR","11.05.2020 12:00 - 11.05.2020 13:00 (CET)","n/e","153","n/e","1336","n/e","0","n/e","n/e","n/e","0","","n/e","130","n/e","n/e","n/e","n/e","1940","n/e","n/e","895"
"BZN|GR","11.05.2020 13:00 - 11.05.2020 14:00 (CET)","n/e","153","n/e","1337","n/e","0","n/e","n/e","n/e","0","","n/e","104","n/e","n/e","n/e","n/e","1869","n/e","n/e","1099"
"BZN|GR","11.05.2020 14:00 - 11.05.2020 15:00 (CET)","n/e","153","n/e","1200","n/e","0","n/e","n/e","n/e","0","","n/e","57","n/e","n/e","n/e","n/e","1681","n/e","n/e","1224"
"BZN|GR","11.05.2020 15:00 - 11.05.2020 16:00 (CET)","n/e","152","n/e","1133","n/e","0","n/e","n/e","n/e","0","","n/e","57","n/e","n/e","n/e","n/e","1318","n/e","n/e","1351"
"BZN|GR","11.05.2020 16:00 - 11.05.2020 17:00 (CET)","n/e","144","n/e","1299","n/e","0","n/e","n/e","n/e","0","","n/e","21","n/e","n/e","n/e","n/e","827","n/e","n/e","1326"
"BZN|GR","11.05.2020 17:00 - 11.05.2020 18:00 (CET)","n/e","143","n/e","1491","n/e","0","n/e","n/e","n/e","0","","n/e","247","n/e","n/e","n/e","n/e","424","n/e","n/e","1299"
"BZN|GR","11.05.2020 18:00 - 11.05.2020 19:00 (CET)","n/e","143","n/e","1607","n/e","0","n/e","n/e","n/e","78","","n/e","488","n/e","n/e","n/e","n/e","142","n/e","n/e","1292"
"BZN|GR","11.05.2020 19:00 - 11.05.2020 20:00 (CET)","n/e","143","n/e","1544","n/e","0","n/e","n/e","n/e","196","","n/e","793","n/e","n/e","n/e","n/e","10","n/e","n/e","1348"
"BZN|GR","11.05.2020 20:00 - 11.05.2020 21:00 (CET)","n/e","143","n/e","1592","n/e","0","n/e","n/e","n/e","209","","n/e","804","n/e","n/e","n/e","n/e","0","n/e","n/e","1372"
"BZN|GR","11.05.2020 21:00 - 11.05.2020 22:00 (CET)","n/e","142","n/e","1424","n/e","0","n/e","n/e","n/e","113","","n/e","494","n/e","n/e","n/e","n/e","0","n/e","n/e","1458"
"BZN|GR","11.05.2020 22:00 - 11.05.2020 23:00 (CET)","n/e","149","n/e","1275","n/e","0","n/e","n/e","n/e","6","","n/e","213","n/e","n/e","n/e","n/e","0","n/e","n/e","1529"
"BZN|GR","11.05.2020 23:00 - 12.05.2020 00:00 (CET)","n/e","152","n/e","919","n/e","0","n/e","n/e","n/e","0","","n/e","49","n/e","n/e","n/e","n/e","0","n/e","n/e","1601"
"BZN|GR","12.05.2020 00:00 - 12.05.2020 01:00 (CET)","n/e","155","n/e","853","n/e","0","n/e","n/e","n/e","1","","n/e","41","n/e","n/e","n/e","n/e","0","n/e","n/e","1626"
"BZN|GR","12.05.2020 01:00 - 12.05.2020 02:00 (CET)","n/e","154","n/e","517","n/e","0","n/e","n/e","n/e","32","","n/e","61","n/e","n/e","n/e","n/e","0","n/e","n/e","1595"
"BZN|GR","12.05.2020 02:00 - 12.05.2020 03:00 (CET)","n/e","153","n/e","544","n/e","0","n/e","n/e","n/e","32","","n/e","70","n/e","n/e","n/e","n/e","0","n/e","n/e","1588"
"BZN|GR","12.05.2020 03:00 - 12.05.2020 04:00 (CET)","n/e","153","n/e","555","n/e","0","n/e","n/e","n/e","32","","n/e","74","n/e","n/e","n/e","n/e","0","n/e","n/e","1596"
"BZN|GR","12.05.2020 04:00 - 12.05.2020 05:00 (CET)","n/e","153","n/e","648","n/e","0","n/e","n/e","n/e","32","","n/e","98","n/e","n/e","n/e","n/e","0","n/e","n/e","1545"
"BZN|GR","12.05.2020 05:00 - 12.05.2020 06:00 (CET)","n/e","158","n/e","623","n/e","0","n/e","n/e","n/e","32","","n/e","100","n/e","n/e","n/e","n/e","16","n/e","n/e","1517"
"BZN|GR","12.05.2020 06:00 - 12.05.2020 07:00 (CET)","n/e","153","n/e","794","n/e","0","n/e","n/e","n/e","32","","n/e","226","n/e","n/e","n/e","n/e","193","n/e","n/e","1426"
"BZN|GR","12.05.2020 07:00 - 12.05.2020 08:00 (CET)","n/e","153","n/e","1400","n/e","0","n/e","n/e","n/e","13","","n/e","307","n/e","n/e","n/e","n/e","570","n/e","n/e","1304"
"BZN|GR","12.05.2020 08:00 - 12.05.2020 09:00 (CET)","n/e","162","n/e","1470","n/e","0","n/e","n/e","n/e","0","","n/e","262","n/e","n/e","n/e","n/e","1014","n/e","n/e","1245"
"BZN|GR","12.05.2020 09:00 - 12.05.2020 10:00 (CET)","n/e","153","n/e","1229","n/e","0","n/e","n/e","n/e","0","","n/e","231","n/e","n/e","n/e","n/e","1391","n/e","n/e","1207"
"BZN|GR","12.05.2020 10:00 - 12.05.2020 11:00 (CET)","n/e","152","n/e","1178","n/e","0","n/e","n/e","n/e","0","","n/e","260","n/e","n/e","n/e","n/e","1643","n/e","n/e","1088"
"BZN|GR","12.05.2020 11:00 - 12.05.2020 12:00 (CET)","n/e","155","n/e","1254","n/e","0","n/e","n/e","n/e","0","","n/e","206","n/e","n/e","n/e","n/e","1798","n/e","n/e","1068"
"BZN|GR","12.05.2020 12:00 - 12.05.2020 13:00 (CET)","n/e","152","n/e","1209","n/e","0","n/e","n/e","n/e","0","","n/e","151","n/e","n/e","n/e","n/e","1844","n/e","n/e","1071"
"BZN|GR","12.05.2020 13:00 - 12.05.2020 14:00 (CET)","n/e","155","n/e","1161","n/e","0","n/e","n/e","n/e","0","","n/e","101","n/e","n/e","n/e","n/e","1788","n/e","n/e","1041"
"BZN|GR","12.05.2020 14:00 - 12.05.2020 15:00 (CET)","n/e","153","n/e","1017","n/e","0","n/e","n/e","n/e","0","","n/e","73","n/e","n/e","n/e","n/e","1640","n/e","n/e","1027"
"BZN|GR","12.05.2020 15:00 - 12.05.2020 16:00 (CET)","n/e","152","n/e","1112","n/e","0","n/e","n/e","n/e","0","","n/e","42","n/e","n/e","n/e","n/e","1392","n/e","n/e","956"
"BZN|GR","12.05.2020 16:00 - 12.05.2020 17:00 (CET)","n/e","152","n/e","1274","n/e","0","n/e","n/e","n/e","0","","n/e","82","n/e","n/e","n/e","n/e","1007","n/e","n/e","881"
"BZN|GR","12.05.2020 17:00 - 12.05.2020 18:00 (CET)","n/e","152","n/e","1812","n/e","0","n/e","n/e","n/e","25","","n/e","178","n/e","n/e","n/e","n/e","530","n/e","n/e","787"
"BZN|GR","12.05.2020 18:00 - 12.05.2020 19:00 (CET)","n/e","152","n/e","2054","n/e","0","n/e","n/e","n/e","153","","n/e","448","n/e","n/e","n/e","n/e","151","n/e","n/e","713"
"BZN|GR","12.05.2020 19:00 - 12.05.2020 20:00 (CET)","n/e","155","n/e","2111","n/e","0","n/e","n/e","n/e","233","","n/e","761","n/e","n/e","n/e","n/e","9","n/e","n/e","683"
"BZN|GR","12.05.2020 20:00 - 12.05.2020 21:00 (CET)","n/e","210","n/e","2178","n/e","0","n/e","n/e","n/e","312","","n/e","835","n/e","n/e","n/e","n/e","0","n/e","n/e","638"
"BZN|GR","12.05.2020 21:00 - 12.05.2020 22:00 (CET)","n/e","179","n/e","2269","n/e","0","n/e","n/e","n/e","53","","n/e","433","n/e","n/e","n/e","n/e","0","n/e","n/e","604"
"BZN|GR","12.05.2020 22:00 - 12.05.2020 23:00 (CET)","n/e","153","n/e","2257","n/e","0","n/e","n/e","n/e","0","","n/e","307","n/e","n/e","n/e","n/e","0","n/e","n/e","572"
"BZN|GR","12.05.2020 23:00 - 13.05.2020 00:00 (CET)","n/e","149","n/e","1952","n/e","0","n/e","n/e","n/e","0","","n/e","140","n/e","n/e","n/e","n/e","0","n/e","n/e","605"
"BZN|GR","13.05.2020 00:00 - 13.05.2020 01:00 (CET)","n/e","149","n/e","1851","n/e","0","n/e","n/e","n/e","0","","n/e","108","n/e","n/e","n/e","n/e","0","n/e","n/e","579"
"BZN|GR","13.05.2020 01:00 - 13.05.2020 02:00 (CET)","n/e","151","n/e","1770","n/e","0","n/e","n/e","n/e","0","","n/e","44","n/e","n/e","n/e","n/e","0","n/e","n/e","568"
"BZN|GR","13.05.2020 02:00 - 13.05.2020 03:00 (CET)","n/e","155","n/e","1758","n/e","0","n/e","n/e","n/e","0","","n/e","41","n/e","n/e","n/e","n/e","0","n/e","n/e","531"
"BZN|GR","13.05.2020 03:00 - 13.05.2020 04:00 (CET)","n/e","154","n/e","1746","n/e","0","n/e","n/e","n/e","0","","n/e","41","n/e","n/e","n/e","n/e","0","n/e","n/e","479"
"BZN|GR","13.05.2020 04:00 - 13.05.2020 05:00 (CET)","n/e","154","n/e","1804","n/e","0","n/e","n/e","n/e","0","","n/e","67","n/e","n/e","n/e","n/e","0","n/e","n/e","506"
"BZN|GR","13.05.2020 05:00 - 13.05.2020 06:00 (CET)","n/e","157","n/e","1810","n/e","0","n/e","n/e","n/e","0","","n/e","68","n/e","n/e","n/e","n/e","15","n/e","n/e","566"
"BZN|GR","13.05.2020 06:00 - 13.05.2020 07:00 (CET)","n/e","153","n/e","2027","n/e","0","n/e","n/e","n/e","0","","n/e","182","n/e","n/e","n/e","n/e","197","n/e","n/e","474"
"BZN|GR","13.05.2020 07:00 - 13.05.2020 08:00 (CET)","n/e","149","n/e","2114","n/e","0","n/e","n/e","n/e","0","","n/e","388","n/e","n/e","n/e","n/e","655","n/e","n/e","386"
"BZN|GR","13.05.2020 08:00 - 13.05.2020 09:00 (CET)","n/e","158","n/e","2173","n/e","0","n/e","n/e","n/e","0","","n/e","427","n/e","n/e","n/e","n/e","1151","n/e","n/e","270"
"BZN|GR","13.05.2020 09:00 - 13.05.2020 10:00 (CET)","n/e","165","n/e","2069","n/e","0","n/e","n/e","n/e","0","","n/e","386","n/e","n/e","n/e","n/e","1540","n/e","n/e","184"
"BZN|GR","13.05.2020 10:00 - 13.05.2020 11:00 (CET)","n/e","172","n/e","2135","n/e","0","n/e","n/e","n/e","0","","n/e","366","n/e","n/e","n/e","n/e","1793","n/e","n/e","137"
"BZN|GR","13.05.2020 11:00 - 13.05.2020 12:00 (CET)","n/e","174","n/e","2137","n/e","0","n/e","n/e","n/e","0","","n/e","361","n/e","n/e","n/e","n/e","1926","n/e","n/e","121"
"BZN|GR","13.05.2020 12:00 - 13.05.2020 13:00 (CET)","n/e","174","n/e","2106","n/e","0","n/e","n/e","n/e","0","","n/e","319","n/e","n/e","n/e","n/e","1956","n/e","n/e","146"
"BZN|GR","13.05.2020 13:00 - 13.05.2020 14:00 (CET)","n/e","174","n/e","1852","n/e","0","n/e","n/e","n/e","0","","n/e","257","n/e","n/e","n/e","n/e","1894","n/e","n/e","167"
"BZN|GR","13.05.2020 14:00 - 13.05.2020 15:00 (CET)","n/e","174","n/e","1791","n/e","0","n/e","n/e","n/e","0","","n/e","136","n/e","n/e","n/e","n/e","1717","n/e","n/e","183"
"BZN|GR","13.05.2020 15:00 - 13.05.2020 16:00 (CET)","n/e","184","n/e","1915","n/e","0","n/e","n/e","n/e","0","","n/e","101","n/e","n/e","n/e","n/e","1419","n/e","n/e","175"
"BZN|GR","13.05.2020 16:00 - 13.05.2020 17:00 (CET)","n/e","183","n/e","2284","n/e","0","n/e","n/e","n/e","0","","n/e","137","n/e","n/e","n/e","n/e","994","n/e","n/e","150"
"BZN|GR","13.05.2020 17:00 - 13.05.2020 18:00 (CET)","n/e","203","n/e","2503","n/e","0","n/e","n/e","n/e","9","","n/e","429","n/e","n/e","n/e","n/e","504","n/e","n/e","130"
"BZN|GR","13.05.2020 18:00 - 13.05.2020 19:00 (CET)","n/e","241","n/e","2569","n/e","0","n/e","n/e","n/e","98","","n/e","601","n/e","n/e","n/e","n/e","144","n/e","n/e","129"
"BZN|GR","13.05.2020 19:00 - 13.05.2020 20:00 (CET)","n/e","263","n/e","2690","n/e","0","n/e","n/e","n/e","149","","n/e","838","n/e","n/e","n/e","n/e","8","n/e","n/e","133"
"BZN|GR","13.05.2020 20:00 - 13.05.2020 21:00 (CET)","n/e","299","n/e","2786","n/e","0","n/e","n/e","n/e","209","","n/e","891","n/e","n/e","n/e","n/e","0","n/e","n/e","145"
"BZN|GR","13.05.2020 21:00 - 13.05.2020 22:00 (CET)","n/e","331","n/e","2585","n/e","0","n/e","n/e","n/e","173","","n/e","503","n/e","n/e","n/e","n/e","0","n/e","n/e","145"
"BZN|GR","13.05.2020 22:00 - 13.05.2020 23:00 (CET)","n/e","360","n/e","2599","n/e","0","n/e","n/e","n/e","141","","n/e","298","n/e","n/e","n/e","n/e","0","n/e","n/e","132"
"BZN|GR","13.05.2020 23:00 - 14.05.2020 00:00 (CET)","n/e","378","n/e","2619","n/e","0","n/e","n/e","n/e","7","","n/e","107","n/e","n/e","n/e","n/e","0","n/e","n/e","104"
"BZN|GR","14.05.2020 00:00 - 14.05.2020 01:00 (CET)","n/e","373","n/e","2454","n/e","0","n/e","n/e","n/e","0","","n/e","42","n/e","n/e","n/e","n/e","0","n/e","n/e","69"
"BZN|GR","14.05.2020 01:00 - 14.05.2020 02:00 (CET)","n/e","381","n/e","2313","n/e","0","n/e","n/e","n/e","0","","n/e","41","n/e","n/e","n/e","n/e","0","n/e","n/e","50"
"BZN|GR","14.05.2020 02:00 - 14.05.2020 03:00 (CET)","n/e","388","n/e","2215","n/e","0","n/e","n/e","n/e","0","","n/e","41","n/e","n/e","n/e","n/e","0","n/e","n/e","55"
"BZN|GR","14.05.2020 03:00 - 14.05.2020 04:00 (CET)","n/e","386","n/e","2138","n/e","0","n/e","n/e","n/e","0","","n/e","41","n/e","n/e","n/e","n/e","0","n/e","n/e","63"
"BZN|GR","14.05.2020 04:00 - 14.05.2020 05:00 (CET)","n/e","384","n/e","2085","n/e","0","n/e","n/e","n/e","0","","n/e","73","n/e","n/e","n/e","n/e","0","n/e","n/e","96"
"BZN|GR","14.05.2020 05:00 - 14.05.2020 06:00 (CET)","n/e","386","n/e","2117","n/e","0","n/e","n/e","n/e","0","","n/e","73","n/e","n/e","n/e","n/e","17","n/e","n/e","137"
"BZN|GR","14.05.2020 06:00 - 14.05.2020 07:00 (CET)","n/e","392","n/e","2317","n/e","0","n/e","n/e","n/e","0","","n/e","128","n/e","n/e","n/e","n/e","201","n/e","n/e","159"
"BZN|GR","14.05.2020 07:00 - 14.05.2020 08:00 (CET)","n/e","411","n/e","2482","n/e","0","n/e","n/e","n/e","0","","n/e","217","n/e","n/e","n/e","n/e","642","n/e","n/e","151"
"BZN|GR","14.05.2020 08:00 - 14.05.2020 09:00 (CET)","n/e","398","n/e","2434","n/e","0","n/e","n/e","n/e","0","","n/e","249","n/e","n/e","n/e","n/e","1122","n/e","n/e","138"
"BZN|GR","14.05.2020 09:00 - 14.05.2020 10:00 (CET)","n/e","391","n/e","2493","n/e","0","n/e","n/e","n/e","0","","n/e","211","n/e","n/e","n/e","n/e","1505","n/e","n/e","105"
"BZN|GR","14.05.2020 10:00 - 14.05.2020 11:00 (CET)","n/e","371","n/e","2462","n/e","0","n/e","n/e","n/e","0","","n/e","188","n/e","n/e","n/e","n/e","1755","n/e","n/e","105"
"BZN|GR","14.05.2020 11:00 - 14.05.2020 12:00 (CET)","n/e","372","n/e","2397","n/e","0","n/e","n/e","n/e","0","","n/e","202","n/e","n/e","n/e","n/e","1884","n/e","n/e","107"
"BZN|GR","14.05.2020 12:00 - 14.05.2020 13:00 (CET)","n/e","374","n/e","2350","n/e","0","n/e","n/e","n/e","0","","n/e","170","n/e","n/e","n/e","n/e","1921","n/e","n/e","118"
"BZN|GR","14.05.2020 13:00 - 14.05.2020 14:00 (CET)","n/e","365","n/e","2124","n/e","0","n/e","n/e","n/e","0","","n/e","129","n/e","n/e","n/e","n/e","1862","n/e","n/e","169"
"BZN|GR","14.05.2020 14:00 - 14.05.2020 15:00 (CET)","n/e","366","n/e","1824","n/e","0","n/e","n/e","n/e","0","","n/e","64","n/e","n/e","n/e","n/e","1686","n/e","n/e","249"
"BZN|GR","14.05.2020 15:00 - 14.05.2020 16:00 (CET)","n/e","361","n/e","1783","n/e","0","n/e","n/e","n/e","0","","n/e","63","n/e","n/e","n/e","n/e","1385","n/e","n/e","345"
"BZN|GR","14.05.2020 16:00 - 14.05.2020 17:00 (CET)","n/e","364","n/e","1950","n/e","0","n/e","n/e","n/e","0","","n/e","142","n/e","n/e","n/e","n/e","966","n/e","n/e","458"
"BZN|GR","14.05.2020 17:00 - 14.05.2020 18:00 (CET)","n/e","365","n/e","2125","n/e","0","n/e","n/e","n/e","0","","n/e","342","n/e","n/e","n/e","n/e","489","n/e","n/e","557"
"BZN|GR","14.05.2020 18:00 - 14.05.2020 19:00 (CET)","n/e","368","n/e","1911","n/e","0","n/e","n/e","n/e","196","","n/e","504","n/e","n/e","n/e","n/e","143","n/e","n/e","707"
"BZN|GR","14.05.2020 19:00 - 14.05.2020 20:00 (CET)","n/e","367","n/e","1816","n/e","0","n/e","n/e","n/e","221","","n/e","834","n/e","n/e","n/e","n/e","8","n/e","n/e","839"
"BZN|GR","14.05.2020 20:00 - 14.05.2020 21:00 (CET)","n/e","368","n/e","1898","n/e","0","n/e","n/e","n/e","222","","n/e","831","n/e","n/e","n/e","n/e","0","n/e","n/e","839"
"BZN|GR","14.05.2020 21:00 - 14.05.2020 22:00 (CET)","n/e","373","n/e","1918","n/e","0","n/e","n/e","n/e","89","","n/e","673","n/e","n/e","n/e","n/e","0","n/e","n/e","725"
"BZN|GR","14.05.2020 22:00 - 14.05.2020 23:00 (CET)","n/e","396","n/e","1931","n/e","0","n/e","n/e","n/e","25","","n/e","352","n/e","n/e","n/e","n/e","0","n/e","n/e","694"
"BZN|GR","14.05.2020 23:00 - 15.05.2020 00:00 (CET)","n/e","388","n/e","1736","n/e","0","n/e","n/e","n/e","0","","n/e","217","n/e","n/e","n/e","n/e","0","n/e","n/e","684"
"BZN|GR","15.05.2020 00:00 - 15.05.2020 01:00 (CET)","n/e","367","n/e","1487","n/e","0","n/e","n/e","n/e","0","","n/e","170","n/e","n/e","n/e","n/e","0","n/e","n/e","646"
"BZN|GR","15.05.2020 01:00 - 15.05.2020 02:00 (CET)","n/e","369","n/e","1479","n/e","0","n/e","n/e","n/e","0","","n/e","131","n/e","n/e","n/e","n/e","0","n/e","n/e","597"
"BZN|GR","15.05.2020 02:00 - 15.05.2020 03:00 (CET)","n/e","369","n/e","1429","n/e","0","n/e","n/e","n/e","30","","n/e","154","n/e","n/e","n/e","n/e","0","n/e","n/e","535"
"BZN|GR","15.05.2020 03:00 - 15.05.2020 04:00 (CET)","n/e","369","n/e","1458","n/e","0","n/e","n/e","n/e","30","","n/e","196","n/e","n/e","n/e","n/e","0","n/e","n/e","465"
"BZN|GR","15.05.2020 04:00 - 15.05.2020 05:00 (CET)","n/e","369","n/e","1471","n/e","0","n/e","n/e","n/e","30","","n/e","212","n/e","n/e","n/e","n/e","0","n/e","n/e","425"
"BZN|GR","15.05.2020 05:00 - 15.05.2020 06:00 (CET)","n/e","367","n/e","1662","n/e","0","n/e","n/e","n/e","30","","n/e","146","n/e","n/e","n/e","n/e","16","n/e","n/e","379"
"BZN|GR","15.05.2020 06:00 - 15.05.2020 07:00 (CET)","n/e","375","n/e","1794","n/e","0","n/e","n/e","n/e","26","","n/e","298","n/e","n/e","n/e","n/e","178","n/e","n/e","364"
"BZN|GR","15.05.2020 07:00 - 15.05.2020 08:00 (CET)","n/e","394","n/e","2210","n/e","0","n/e","n/e","n/e","0","","n/e","264","n/e","n/e","n/e","n/e","480","n/e","n/e","351"
"BZN|GR","15.05.2020 08:00 - 15.05.2020 09:00 (CET)","n/e","405","n/e","2222","n/e","0","n/e","n/e","n/e","0","","n/e","224","n/e","n/e","n/e","n/e","836","n/e","n/e","372"
"BZN|GR","15.05.2020 09:00 - 15.05.2020 10:00 (CET)","n/e","415","n/e","2257","n/e","0","n/e","n/e","n/e","0","","n/e","261","n/e","n/e","n/e","n/e","1190","n/e","n/e","333"
"BZN|GR","15.05.2020 10:00 - 15.05.2020 11:00 (CET)","n/e","410","n/e","2227","n/e","0","n/e","n/e","n/e","0","","n/e","278","n/e","n/e","n/e","n/e","1487","n/e","n/e","315"
"BZN|GR","15.05.2020 11:00 - 15.05.2020 12:00 (CET)","n/e","395","n/e","2115","n/e","0","n/e","n/e","n/e","28","","n/e","226","n/e","n/e","n/e","n/e","1683","n/e","n/e","311"
"BZN|GR","15.05.2020 12:00 - 15.05.2020 13:00 (CET)","n/e","372","n/e","2122","n/e","0","n/e","n/e","n/e","34","","n/e","194","n/e","n/e","n/e","n/e","1711","n/e","n/e","325"
"BZN|GR","15.05.2020 13:00 - 15.05.2020 14:00 (CET)","n/e","373","n/e","1987","n/e","0","n/e","n/e","n/e","26","","n/e","111","n/e","n/e","n/e","n/e","1630","n/e","n/e","370"
"BZN|GR","15.05.2020 14:00 - 15.05.2020 15:00 (CET)","n/e","367","n/e","1924","n/e","0","n/e","n/e","n/e","0","","n/e","80","n/e","n/e","n/e","n/e","1437","n/e","n/e","409"
"BZN|GR","15.05.2020 15:00 - 15.05.2020 16:00 (CET)","n/e","368","n/e","1939","n/e","0","n/e","n/e","n/e","0","","n/e","82","n/e","n/e","n/e","n/e","1126","n/e","n/e","437"
"BZN|GR","15.05.2020 16:00 - 15.05.2020 17:00 (CET)","n/e","368","n/e","2198","n/e","0","n/e","n/e","n/e","0","","n/e","101","n/e","n/e","n/e","n/e","746","n/e","n/e","439"
"BZN|GR","15.05.2020 17:00 - 15.05.2020 18:00 (CET)","n/e","369","n/e","2390","n/e","0","n/e","n/e","n/e","5","","n/e","269","n/e","n/e","n/e","n/e","387","n/e","n/e","451"
"BZN|GR","15.05.2020 18:00 - 15.05.2020 19:00 (CET)","n/e","369","n/e","2325","n/e","0","n/e","n/e","n/e","179","","n/e","522","n/e","n/e","n/e","n/e","135","n/e","n/e","439"
"BZN|GR","15.05.2020 19:00 - 15.05.2020 20:00 (CET)","n/e","368","n/e","2368","n/e","0","n/e","n/e","n/e","115","","n/e","828","n/e","n/e","n/e","n/e","10","n/e","n/e","470"
"BZN|GR","15.05.2020 20:00 - 15.05.2020 21:00 (CET)","n/e","372","n/e","2480","n/e","0","n/e","n/e","n/e","133","","n/e","771","n/e","n/e","n/e","n/e","0","n/e","n/e","507"
"BZN|GR","15.05.2020 21:00 - 15.05.2020 22:00 (CET)","n/e","374","n/e","2112","n/e","0","n/e","n/e","n/e","133","","n/e","602","n/e","n/e","n/e","n/e","0","n/e","n/e","516"
"BZN|GR","15.05.2020 22:00 - 15.05.2020 23:00 (CET)","n/e","375","n/e","2409","n/e","0","n/e","n/e","n/e","85","","n/e","261","n/e","n/e","n/e","n/e","0","n/e","n/e","436"
"BZN|GR","15.05.2020 23:00 - 16.05.2020 00:00 (CET)","n/e","379","n/e","2273","n/e","0","n/e","n/e","n/e","1","","n/e","115","n/e","n/e","n/e","n/e","0","n/e","n/e","408"
"BZN|GR","16.05.2020 00:00 - 16.05.2020 01:00 (CET)","n/e","394","n/e","2000","n/e","0","n/e","n/e","n/e","0","","n/e","159","n/e","n/e","n/e","n/e","0","n/e","n/e","346"
"BZN|GR","16.05.2020 01:00 - 16.05.2020 02:00 (CET)","n/e","407","n/e","1983","n/e","0","n/e","n/e","n/e","0","","n/e","80","n/e","n/e","n/e","n/e","0","n/e","n/e","291"
"BZN|GR","16.05.2020 02:00 - 16.05.2020 03:00 (CET)","n/e","408","n/e","1918","n/e","0","n/e","n/e","n/e","0","","n/e","73","n/e","n/e","n/e","n/e","0","n/e","n/e","234"
"BZN|GR","16.05.2020 03:00 - 16.05.2020 04:00 (CET)","n/e","406","n/e","1921","n/e","0","n/e","n/e","n/e","0","","n/e","70","n/e","n/e","n/e","n/e","0","n/e","n/e","214"
"BZN|GR","16.05.2020 04:00 - 16.05.2020 05:00 (CET)","n/e","406","n/e","1911","n/e","0","n/e","n/e","n/e","0","","n/e","105","n/e","n/e","n/e","n/e","0","n/e","n/e","212"
